"","APMC","Commodity","Type"
"72","nandurbar","bajri","Multiplicative"
"73","shahada","bajri","Multiplicative"
"74","taloda","bajri","Multiplicative"
"75","devala","bajri","Multiplicative"
"76","kalvan","bajri","Multiplicative"
"77","lasalgaon","bajri","Multiplicative"
"78","malegaon","bajri","Multiplicative"
"79","manmad","bajri","Multiplicative"
"80","nandgaon","bajri","Multiplicative"
"81","satana","bajri","Multiplicative"
"82","sinner","bajri","Multiplicative"
"83","yeola","bajri","Multiplicative"
"84","kalamb (os)","bajri","Multiplicative"
"85","murum","bajri","Multiplicative"
"86","umarga","bajri","Multiplicative"
"87","tuljapur","bajri","Multiplicative"
"88","sailu","bajri","Multiplicative"
"89","jintur","bajri","Multiplicative"
"90","jintur-bori","bajri","Multiplicative"
"91","sonpeth","bajri","Multiplicative"
"92","baramati","bajri","Multiplicative"
"93","dound","bajri","Multiplicative"
"94","indapur-bhigwan","bajri","Multiplicative"
"95","shirur","bajri","Multiplicative"
"96","indapur","bajri","Multiplicative"
"97","sangali","bajri","Multiplicative"
"98","atpadi","bajri","Multiplicative"
"99","lonand","bajri","Multiplicative"
"100","phaltan","bajri","Multiplicative"
"101","vaduj","bajri","Multiplicative"
"102","akkolkot","bajri","Multiplicative"
"103","akluj","bajri","Multiplicative"
"104","barshi","bajri","Multiplicative"
"105","dudhani","bajri","Multiplicative"
"106","kurdwadi","bajri","Multiplicative"
"107","mangalwedha","bajri","Multiplicative"
"108","pandharpur","bajri","Multiplicative"
"109","solapur","bajri","Multiplicative"
"110","karmala","bajri","Multiplicative"
"111","vasai","bajri","Multiplicative"
"112","karanja","bajri","Multiplicative"
"113","pusad","bajri","Multiplicative"
"114","anajngaon surji","banana","Multiplicative"
"115","aurangabad","banana","Multiplicative"
"116","chandrapur","banana","Multiplicative"
"117","jalgaon","banana","Multiplicative"
"118","yawal","banana","Multiplicative"
"119","jalna","banana","Multiplicative"
"120","nagpur","banana","Multiplicative"
"121","baramati","banana","Multiplicative"
"122","indapur","banana","Multiplicative"
"123","karad","banana","Multiplicative"
"124","akluj","banana","Multiplicative"
"125","pandharpur","banana","Multiplicative"
"126","solapur","banana","Multiplicative"
"127","kalyan","banana","Multiplicative"
"128","achalpur","batbati","Multiplicative"
"129","aheri","batbati","Multiplicative"
"130","karanja","batbati","Multiplicative"
"131","pusad","batbati","Multiplicative"
"132","sangali","bedana","Multiplicative"
"133","tasgaon","bedana","Multiplicative"
"134","rahata","beet root","Multiplicative"
"135","jalgaon","beet root","Multiplicative"
"136","kamthi","beet root","Multiplicative"
"137","nagpur","beet root","Multiplicative"
"138","pune","beet root","Multiplicative"
"139","pune-pimpri","beet root","Multiplicative"
"140","manchar","beet root","Multiplicative"
"141","mumbai","betelnuts","Multiplicative"
"142","akole","bhagar/vari","Multiplicative"
"143","pune","bijli","Multiplicative"
"144","rahata","bitter gourd","Multiplicative"
"145","shrirampur","bitter gourd","Multiplicative"
"146","aurangabad","bitter gourd","Multiplicative"
"147","chandrapur-ganjwad","bitter gourd","Multiplicative"
"148","jalgaon","bitter gourd","Multiplicative"
"149","vadgaon peth","bitter gourd","Multiplicative"
"150","mumbai","bitter gourd","Multiplicative"
"151","kamthi","bitter gourd","Multiplicative"
"152","nagpur","bitter gourd","Multiplicative"
"153","ramtek","bitter gourd","Multiplicative"
"154","ghoti","bitter gourd","Multiplicative"
"155","nashik","bitter gourd","Multiplicative"
"156","osmanabad","bitter gourd","Multiplicative"
"157","pune","bitter gourd","Multiplicative"
"158","pune-manjri","bitter gourd","Multiplicative"
"159","pune-pimpri","bitter gourd","Multiplicative"
"160","khed (shel pimpalgaon)","bitter gourd","Multiplicative"
"161","manchar","bitter gourd","Multiplicative"
"162","panvel","bitter gourd","Multiplicative"
"163","ratanagari","bitter gourd","Multiplicative"
"164","karad","bitter gourd","Multiplicative"
"165","patan","bitter gourd","Multiplicative"
"166","satara","bitter gourd","Multiplicative"
"167","akluj","bitter gourd","Multiplicative"
"168","barshi","bitter gourd","Multiplicative"
"169","mangalwedha","bitter gourd","Multiplicative"
"170","solapur","bitter gourd","Multiplicative"
"171","kalyan","bitter gourd","Multiplicative"
"172","murbad","bitter gourd","Multiplicative"
"173","shahapur","bitter gourd","Multiplicative"
"174","jamkhed","black gram","Multiplicative"
"175","ahmednagar","black gram","Multiplicative"
"176","akola","black gram","Multiplicative"
"177","murtizapur","black gram","Multiplicative"
"178","telhara","black gram","Multiplicative"
"179","amarawati","black gram","Multiplicative"
"180","anajngaon surji","black gram","Multiplicative"
"181","daryapur","black gram","Multiplicative"
"182","achalpur","black gram","Multiplicative"
"183","sillod-bharadi","black gram","Multiplicative"
"184","kannad","black gram","Multiplicative"
"185","vaijapur","black gram","Multiplicative"
"186","ambejogai","black gram","Multiplicative"
"187","beed","black gram","Multiplicative"
"188","kada","black gram","Multiplicative"
"189","kej","black gram","Multiplicative"
"190","parli-vaijnath","black gram","Multiplicative"
"191","kille dharur","black gram","Multiplicative"
"192","kada (ashti)","black gram","Multiplicative"
"193","tumsar","black gram","Multiplicative"
"194","buldhana","black gram","Multiplicative"
"195","chikhali","black gram","Multiplicative"
"196","jalgaon jamod-aasalgaon","black gram","Multiplicative"
"197","khamgaon","black gram","Multiplicative"
"198","lonar","black gram","Multiplicative"
"199","malkapur","black gram","Multiplicative"
"200","mehkar","black gram","Multiplicative"
"201","nandura","black gram","Multiplicative"
"202","shegaon","black gram","Multiplicative"
"203","sangrampur","black gram","Multiplicative"
"204","dhule","black gram","Multiplicative"
"205","dondaicha","black gram","Multiplicative"
"206","shirpur","black gram","Multiplicative"
"207","hingoli","black gram","Multiplicative"
"208","bhusaval","black gram","Multiplicative"
"209","chalisgaon","black gram","Multiplicative"
"210","chopda","black gram","Multiplicative"
"211","jalgaon","black gram","Multiplicative"
"212","raver","black gram","Multiplicative"
"213","amalner","black gram","Multiplicative"
"214","jalna","black gram","Multiplicative"
"215","mantha","black gram","Multiplicative"
"216","partur","black gram","Multiplicative"
"217","jalna-badnapur","black gram","Multiplicative"
"218","ausa","black gram","Multiplicative"
"219","latur","black gram","Multiplicative"
"220","udgir","black gram","Multiplicative"
"221","ahmedpur","black gram","Multiplicative"
"222","nilanga","black gram","Multiplicative"
"223","jalkot","black gram","Multiplicative"
"224","bhokar","black gram","Multiplicative"
"225","loha","black gram","Multiplicative"
"226","nanded","black gram","Multiplicative"
"227","deglur","black gram","Multiplicative"
"228","naigaon","black gram","Multiplicative"
"229","dharmabad","black gram","Multiplicative"
"230","nandurbar","black gram","Multiplicative"
"231","shahada","black gram","Multiplicative"
"232","taloda","black gram","Multiplicative"
"233","devala","black gram","Multiplicative"
"234","lasalgaon","black gram","Multiplicative"
"235","sinner","black gram","Multiplicative"
"236","satana","black gram","Multiplicative"
"237","kalamb (os)","black gram","Multiplicative"
"238","murum","black gram","Multiplicative"
"239","umarga","black gram","Multiplicative"
"240","osmanabad","black gram","Multiplicative"
"241","tuljapur","black gram","Multiplicative"
"242","jintur","black gram","Multiplicative"
"243","parbhani","black gram","Multiplicative"
"244","sailu","black gram","Multiplicative"
"245","sonpeth","black gram","Multiplicative"
"246","jintur-bori","black gram","Multiplicative"
"247","pune","black gram","Multiplicative"
"248","sangali","black gram","Multiplicative"
"249","tasgaon","black gram","Multiplicative"
"250","akkolkot","black gram","Multiplicative"
"251","barshi","black gram","Multiplicative"
"252","barshi-vairag","black gram","Multiplicative"
"253","dudhani","black gram","Multiplicative"
"254","solapur","black gram","Multiplicative"
"255","mangalwedha","black gram","Multiplicative"
"256","mohol","black gram","Multiplicative"
"257","kurdwadi","black gram","Multiplicative"
"258","karanja","black gram","Multiplicative"
"259","mangrulpeer","black gram","Multiplicative"
"260","washim","black gram","Multiplicative"
"261","ner parasopant","black gram","Multiplicative"
"262","pusad","black gram","Multiplicative"
"263","yeotmal","black gram","Multiplicative"
"264","rahata","bor","Multiplicative"
"265","shrirampur","bor","Multiplicative"
"266","aurangabad","bor","Multiplicative"
"267","jalgaon","bor","Multiplicative"
"268","nagpur","bor","Multiplicative"
"269","nashik","bor","Multiplicative"
"270","osmanabad","bor","Multiplicative"
"271","karad","bor","Multiplicative"
"272","akluj","bor","Multiplicative"
"273","barshi","bor","Multiplicative"
"274","pandharpur","bor","Multiplicative"
"275","solapur","bor","Multiplicative"
"276","kalyan","bor","Multiplicative"
"277","rahata","bottle gourd","Multiplicative"
"278","shrirampur","bottle gourd","Multiplicative"
"279","aurangabad","bottle gourd","Multiplicative"
"280","vadgaon peth","bottle gourd","Multiplicative"
"281","mumbai","bottle gourd","Multiplicative"
"282","kamthi","bottle gourd","Multiplicative"
"283","nagpur","bottle gourd","Multiplicative"
"284","nashik","bottle gourd","Multiplicative"
"285","osmanabad","bottle gourd","Multiplicative"
"286","khed (shel pimpalgaon)","bottle gourd","Multiplicative"
"287","manchar","bottle gourd","Multiplicative"
"288","pune","bottle gourd","Multiplicative"
"289","pune-manjri","bottle gourd","Multiplicative"
"290","pune-pimpri","bottle gourd","Multiplicative"
"291","khed","bottle gourd","Multiplicative"
"292","panvel","bottle gourd","Multiplicative"
"293","ratanagari","bottle gourd","Multiplicative"
"294","karad","bottle gourd","Multiplicative"
"295","satara","bottle gourd","Multiplicative"
"296","vai","bottle gourd","Multiplicative"
"297","murbad","bottle gourd","Multiplicative"
"298","kalyan","bottle gourd","Multiplicative"
"299","rahata","brinjal","Multiplicative"
"300","shrirampur","brinjal","Multiplicative"
"301","amarawati","brinjal","Multiplicative"
"302","aurangabad","brinjal","Multiplicative"
"303","chandrapur-ganjwad","brinjal","Multiplicative"
"304","jalgaon","brinjal","Multiplicative"
"305","vadgaon peth","brinjal","Multiplicative"
"306","mumbai","brinjal","Multiplicative"
"307","kalmeshwar","brinjal","Multiplicative"
"308","kamthi","brinjal","Multiplicative"
"309","nagpur","brinjal","Multiplicative"
"310","ramtek","brinjal","Multiplicative"
"311","ghoti","brinjal","Multiplicative"
"312","nashik","brinjal","Multiplicative"
"313","osmanabad","brinjal","Multiplicative"
"314","khed (shel pimpalgaon)","brinjal","Multiplicative"
"315","manchar","brinjal","Multiplicative"
"316","pune","brinjal","Multiplicative"
"317","pune-manjri","brinjal","Multiplicative"
"318","pune-pimpri","brinjal","Multiplicative"
"319","panvel","brinjal","Multiplicative"
"320","ratanagari","brinjal","Multiplicative"
"321","islampur","brinjal","Multiplicative"
"322","vita","brinjal","Multiplicative"
"323","karad","brinjal","Multiplicative"
"324","patan","brinjal","Multiplicative"
"325","satara","brinjal","Multiplicative"
"326","vai","brinjal","Multiplicative"
"327","akluj","brinjal","Multiplicative"
"328","barshi","brinjal","Multiplicative"
"329","mangalwedha","brinjal","Multiplicative"
"330","pandharpur","brinjal","Multiplicative"
"331","solapur","brinjal","Multiplicative"
"332","kalyan","brinjal","Multiplicative"
"333","murbad","brinjal","Multiplicative"
"334","shahapur","brinjal","Multiplicative"
"335","khamgaon","buffalo","Multiplicative"
"336","khamgaon","bullack","Multiplicative"
"337","shrirampur","cabbage","Multiplicative"
"338","aurangabad","cabbage","Multiplicative"
"339","chandrapur-ganjwad","cabbage","Multiplicative"
"340","jalgaon","cabbage","Multiplicative"
"341","vadgaon peth","cabbage","Multiplicative"
"342","mumbai","cabbage","Multiplicative"
"343","kamthi","cabbage","Multiplicative"
"344","nagpur","cabbage","Multiplicative"
"345","ghoti","cabbage","Multiplicative"
"346","nashik","cabbage","Multiplicative"
"347","osmanabad","cabbage","Multiplicative"
"348","manchar","cabbage","Multiplicative"
"349","pune","cabbage","Multiplicative"
"350","pune-manjri","cabbage","Multiplicative"
"351","pune-pimpri","cabbage","Multiplicative"
"352","khed (shel pimpalgaon)","cabbage","Multiplicative"
"353","panvel","cabbage","Multiplicative"
"354","ratanagari","cabbage","Multiplicative"
"355","karad","cabbage","Multiplicative"
"356","patan","cabbage","Multiplicative"
"357","satara","cabbage","Multiplicative"
"358","vai","cabbage","Multiplicative"
"359","akluj","cabbage","Multiplicative"
"360","pandharpur","cabbage","Multiplicative"
"361","solapur","cabbage","Multiplicative"
"362","kalyan","cabbage","Multiplicative"
"363","rahata","capsicum","Multiplicative"
"364","shrirampur","capsicum","Multiplicative"
"365","aurangabad","capsicum","Multiplicative"
"366","chandrapur-ganjwad","capsicum","Multiplicative"
"367","vadgaon peth","capsicum","Multiplicative"
"368","mumbai","capsicum","Multiplicative"
"369","kamthi","capsicum","Multiplicative"
"370","nagpur","capsicum","Multiplicative"
"371","nashik","capsicum","Multiplicative"
"372","osmanabad","capsicum","Multiplicative"
"373","pune","capsicum","Multiplicative"
"374","manchar","capsicum","Multiplicative"
"375","ratanagari","capsicum","Multiplicative"
"376","karad","capsicum","Multiplicative"
"377","satara","capsicum","Multiplicative"
"378","patan","capsicum","Multiplicative"
"379","pandharpur","capsicum","Multiplicative"
"380","solapur","capsicum","Multiplicative"
"381","kalyan","capsicum","Multiplicative"
"382","murbad","capsicum","Multiplicative"
"383","mumbai","cardamom","Multiplicative"
"384","rahata","carrot","Multiplicative"
"385","aurangabad","carrot","Multiplicative"
"386","chandrapur-ganjwad","carrot","Multiplicative"
"387","jalgaon","carrot","Multiplicative"
"388","vadgaon peth","carrot","Multiplicative"
"389","mumbai","carrot","Multiplicative"
"390","kamthi","carrot","Multiplicative"
"391","nagpur","carrot","Multiplicative"
"392","nashik","carrot","Multiplicative"
"393","osmanabad","carrot","Multiplicative"
"394","pune","carrot","Multiplicative"
"395","manchar","carrot","Multiplicative"
"396","pune-pimpri","carrot","Multiplicative"
"397","ratanagari","carrot","Multiplicative"
"398","karad","carrot","Multiplicative"
"399","satara","carrot","Multiplicative"
"400","akluj","carrot","Multiplicative"
"401","barshi","carrot","Multiplicative"
"402","solapur","carrot","Multiplicative"
"403","mumbai","cashewnuts","Multiplicative"
"404","varud-rajura bazar","castor seed","Multiplicative"
"405","lasur station","castor seed","Multiplicative"
"406","ambejogai","castor seed","Multiplicative"
"407","tumsar","castor seed","Multiplicative"
"408","dhule","castor seed","Multiplicative"
"409","chalisgaon","castor seed","Multiplicative"
"410","jalna","castor seed","Multiplicative"
"411","malegaon","castor seed","Multiplicative"
"412","kalamb (os)","castor seed","Multiplicative"
"413","shirur","castor seed","Multiplicative"
"414","sangali","castor seed","Multiplicative"
"415","barshi","castor seed","Multiplicative"
"416","chandrapur-ganjwad","chavli (pala)","Multiplicative"
"417","kamthi","chavli (pala)","Multiplicative"
"418","nagpur","chavli (pala)","Multiplicative"
"419","pune","chavli (pala)","Multiplicative"
"420","pune-manjri","chavli (pala)","Multiplicative"
"421","aurangabad","chavli (shenga )","Multiplicative"
"422","chandrapur-ganjwad","chavli (shenga )","Multiplicative"
"423","jalgaon","chavli (shenga )","Multiplicative"
"424","kalmeshwar","chavli (shenga )","Multiplicative"
"425","kamthi","chavli (shenga )","Multiplicative"
"426","nagpur","chavli (shenga )","Multiplicative"
"427","ramtek","chavli (shenga )","Multiplicative"
"428","manchar","chavli (shenga )","Multiplicative"
"429","pune","chavli (shenga )","Multiplicative"
"430","pune-manjri","chavli (shenga )","Multiplicative"
"431","pune-pimpri","chavli (shenga )","Multiplicative"
"432","shahapur","chavli (shenga )","Multiplicative"
"433","shrirampur","chikoo","Multiplicative"
"434","aurangabad","chikoo","Multiplicative"
"435","chandrapur","chikoo","Multiplicative"
"436","mumbai","chikoo","Multiplicative"
"437","nagpur","chikoo","Multiplicative"
"438","osmanabad","chikoo","Multiplicative"
"439","karad","chikoo","Multiplicative"
"440","akluj","chikoo","Multiplicative"
"441","pandharpur","chikoo","Multiplicative"
"442","solapur","chikoo","Multiplicative"
"443","anajngaon surji","chillies(red)","Multiplicative"
"444","khamgaon","chillies(red)","Multiplicative"
"445","malkapur","chillies(red)","Multiplicative"
"446","dhule","chillies(red)","Multiplicative"
"447","dondaicha","chillies(red)","Multiplicative"
"448","shirpur","chillies(red)","Multiplicative"
"449","armori-desaiganj","chillies(red)","Multiplicative"
"450","gadhinglaj","chillies(red)","Multiplicative"
"451","kolhapur-laxmipuri","chillies(red)","Multiplicative"
"452","mumbai","chillies(red)","Multiplicative"
"453","bhiwapur","chillies(red)","Multiplicative"
"454","mandhal","chillies(red)","Multiplicative"
"455","nagpur","chillies(red)","Multiplicative"
"456","umared","chillies(red)","Multiplicative"
"457","nandurbar","chillies(red)","Multiplicative"
"458","pune","chillies(red)","Multiplicative"
"459","indapur-bhigwan","chillies(red)","Multiplicative"
"460","sangali","chillies(red)","Multiplicative"
"461","akluj","chillies(red)","Multiplicative"
"462","solapur","chillies(red)","Multiplicative"
"463","kurdwadi","chillies(red)","Multiplicative"
"464","pandharpur","chillies(red)","Multiplicative"
"465","nagpur","chino","Multiplicative"
"466","rahata","cluster bean","Multiplicative"
"467","aurangabad","cluster bean","Multiplicative"
"468","chandrapur-ganjwad","cluster bean","Multiplicative"
"469","jalgaon","cluster bean","Multiplicative"
"470","vadgaon peth","cluster bean","Multiplicative"
"471","kamthi","cluster bean","Multiplicative"
"472","nagpur","cluster bean","Multiplicative"
"473","nandurbar","cluster bean","Multiplicative"
"474","nashik","cluster bean","Multiplicative"
"475","osmanabad","cluster bean","Multiplicative"
"476","khed (shel pimpalgaon)","cluster bean","Multiplicative"
"477","pune","cluster bean","Multiplicative"
"478","pune-manjri","cluster bean","Multiplicative"
"479","pune-pimpri","cluster bean","Multiplicative"
"480","khed","cluster bean","Multiplicative"
"481","manchar","cluster bean","Multiplicative"
"482","ratanagari","cluster bean","Multiplicative"
"483","karad","cluster bean","Multiplicative"
"484","patan","cluster bean","Multiplicative"
"485","satara","cluster bean","Multiplicative"
"486","vai","cluster bean","Multiplicative"
"487","barshi","cluster bean","Multiplicative"
"488","solapur","cluster bean","Multiplicative"
"489","kalyan","cluster bean","Multiplicative"
"490","shahapur","cluster bean","Multiplicative"
"491","mumbai","coconut","Multiplicative"
"492","rahata","coriander","Multiplicative"
"493","shrirampur","coriander","Multiplicative"
"494","aurangabad","coriander","Multiplicative"
"495","chandrapur-ganjwad","coriander","Multiplicative"
"496","jalgaon","coriander","Multiplicative"
"497","vadgaon peth","coriander","Multiplicative"
"498","kalmeshwar","coriander","Multiplicative"
"499","kamthi","coriander","Multiplicative"
"500","nagpur","coriander","Multiplicative"
"501","ramtek","coriander","Multiplicative"
"502","nashik","coriander","Multiplicative"
"503","junnar (narayangaon)","coriander","Multiplicative"
"504","manchar","coriander","Multiplicative"
"505","pune-manjri","coriander","Multiplicative"
"506","khed (shel pimpalgaon)","coriander","Multiplicative"
"507","ratanagari","coriander","Multiplicative"
"508","karad","coriander","Multiplicative"
"509","patan","coriander","Multiplicative"
"510","akluj","coriander","Multiplicative"
"511","barshi","coriander","Multiplicative"
"512","pandharpur","coriander","Multiplicative"
"513","solapur","coriander","Multiplicative"
"514","jamkhed","coriander (dry)","Multiplicative"
"515","beed","coriander (dry)","Multiplicative"
"516","kej","coriander (dry)","Multiplicative"
"517","jalgaon","coriander (dry)","Multiplicative"
"518","amalner","coriander (dry)","Multiplicative"
"519","ausa","coriander (dry)","Multiplicative"
"520","ahmedpur","coriander (dry)","Multiplicative"
"521","nagpur","coriander (dry)","Multiplicative"
"522","umared","coriander (dry)","Multiplicative"
"523","kalamb (os)","coriander (dry)","Multiplicative"
"524","murum","coriander (dry)","Multiplicative"
"525","umarga","coriander (dry)","Multiplicative"
"526","tuljapur","coriander (dry)","Multiplicative"
"527","indapur-bhigwan","coriander (dry)","Multiplicative"
"528","sangali","coriander (dry)","Multiplicative"
"529","koregaon","coriander (dry)","Multiplicative"
"530","barshi","coriander (dry)","Multiplicative"
"531","jamkhed","cotton","Multiplicative"
"532","newasa","cotton","Multiplicative"
"533","pathardi","cotton","Multiplicative"
"534","shevgaon","cotton","Multiplicative"
"535","shrigonda","cotton","Multiplicative"
"536","shrigonda-ghogargaon","cotton","Multiplicative"
"537","telhara","cotton","Multiplicative"
"538","anajngaon surji","cotton","Multiplicative"
"539","chandur rly.","cotton","Multiplicative"
"540","daryapur","cotton","Multiplicative"
"541","dhamangaon-rly","cotton","Multiplicative"
"542","varud","cotton","Multiplicative"
"543","aurangabad","cotton","Multiplicative"
"544","gangapur","cotton","Multiplicative"
"545","vaijapur","cotton","Multiplicative"
"546","lasur station","cotton","Multiplicative"
"547","paithan","cotton","Multiplicative"
"548","sillod","cotton","Multiplicative"
"549","gevrai","cotton","Multiplicative"
"550","kille dharur","cotton","Multiplicative"
"551","majalgaon","cotton","Multiplicative"
"552","parli-vaijnath","cotton","Multiplicative"
"553","deulgaon raja","cotton","Multiplicative"
"554","jalgaon jamod","cotton","Multiplicative"
"555","khamgaon","cotton","Multiplicative"
"556","nandura","cotton","Multiplicative"
"557","malkapur","cotton","Multiplicative"
"558","chimur","cotton","Multiplicative"
"559","korpana","cotton","Multiplicative"
"560","rajura","cotton","Multiplicative"
"561","chandrapur","cotton","Multiplicative"
"562","varora","cotton","Multiplicative"
"563","dondaicha","cotton","Multiplicative"
"564","aheri","cotton","Multiplicative"
"565","akhadabalapur","cotton","Multiplicative"
"566","basmat","cotton","Multiplicative"
"567","jawala-bajar","cotton","Multiplicative"
"568","kalamnuri","cotton","Multiplicative"
"569","jalgaon","cotton","Multiplicative"
"570","jamner","cotton","Multiplicative"
"571","jamner-neri","cotton","Multiplicative"
"572","bhusaval","cotton","Multiplicative"
"573","yawal","cotton","Multiplicative"
"574","bhokardan","cotton","Multiplicative"
"575","ghansawangi","cotton","Multiplicative"
"576","jafrabad","cotton","Multiplicative"
"577","jalna","cotton","Multiplicative"
"578","jalna-badnapur","cotton","Multiplicative"
"579","mantha","cotton","Multiplicative"
"580","partur","cotton","Multiplicative"
"581","ambad(vadi godri)","cotton","Multiplicative"
"582","bhiwapur","cotton","Multiplicative"
"583","kalmeshwar","cotton","Multiplicative"
"584","katol","cotton","Multiplicative"
"585","parshiwani","cotton","Multiplicative"
"586","savner","cotton","Multiplicative"
"587","umared","cotton","Multiplicative"
"588","bhokar","cotton","Multiplicative"
"589","hadgaon","cotton","Multiplicative"
"590","kinwat","cotton","Multiplicative"
"591","mahur","cotton","Multiplicative"
"592","naigaon","cotton","Multiplicative"
"593","nanded","cotton","Multiplicative"
"594","nandurbar","cotton","Multiplicative"
"595","navapur","cotton","Multiplicative"
"596","shahada","cotton","Multiplicative"
"597","taloda","cotton","Multiplicative"
"598","yeola","cotton","Multiplicative"
"599","paranda","cotton","Multiplicative"
"600","jintur","cotton","Multiplicative"
"601","parbhani","cotton","Multiplicative"
"602","purna","cotton","Multiplicative"
"603","sailu","cotton","Multiplicative"
"604","sonpeth","cotton","Multiplicative"
"605","gangakhed","cotton","Multiplicative"
"606","arvi","cotton","Multiplicative"
"607","pulgaon","cotton","Multiplicative"
"608","samudrapur","cotton","Multiplicative"
"609","sindi","cotton","Multiplicative"
"610","sindi (selu)","cotton","Multiplicative"
"611","wardha","cotton","Multiplicative"
"612","karanja","cotton","Multiplicative"
"613","darwha","cotton","Multiplicative"
"614","digras","cotton","Multiplicative"
"615","ghatanji","cotton","Multiplicative"
"616","kalamb (yawatmal)","cotton","Multiplicative"
"617","mahagaon","cotton","Multiplicative"
"618","pandharkawada","cotton","Multiplicative"
"619","ralegaon","cotton","Multiplicative"
"620","umarkhed","cotton","Multiplicative"
"621","vani","cotton","Multiplicative"
"622","yeotmal","cotton","Multiplicative"
"623","zarijamini","cotton","Multiplicative"
"624","maregaon","cotton","Multiplicative"
"625","vaijapur","cowpea","Multiplicative"
"626","dhule","cowpea","Multiplicative"
"627","shirpur","cowpea","Multiplicative"
"628","jalna","cowpea","Multiplicative"
"629","kolhapur-laxmipuri","cowpea","Multiplicative"
"630","mumbai","cowpea","Multiplicative"
"631","devala","cowpea","Multiplicative"
"632","sinner","cowpea","Multiplicative"
"633","yeola","cowpea","Multiplicative"
"634","malegaon","cowpea","Multiplicative"
"635","indapur-bhigwan","cowpea","Multiplicative"
"636","shirur","cowpea","Multiplicative"
"637","indapur","cowpea","Multiplicative"
"638","vaduj","cowpea","Multiplicative"
"639","koregaon","cowpea","Multiplicative"
"640","rahata","cucumber","Multiplicative"
"641","shrirampur","cucumber","Multiplicative"
"642","aurangabad","cucumber","Multiplicative"
"643","jalgaon","cucumber","Multiplicative"
"644","vadgaon peth","cucumber","Multiplicative"
"645","mumbai","cucumber","Multiplicative"
"646","nagpur","cucumber","Multiplicative"
"647","kalmeshwar","cucumber","Multiplicative"
"648","kamthi","cucumber","Multiplicative"
"649","ramtek","cucumber","Multiplicative"
"650","nashik","cucumber","Multiplicative"
"651","ghoti","cucumber","Multiplicative"
"652","osmanabad","cucumber","Multiplicative"
"653","pune","cucumber","Multiplicative"
"654","pune-manjri","cucumber","Multiplicative"
"655","pune-pimpri","cucumber","Multiplicative"
"656","khed (shel pimpalgaon)","cucumber","Multiplicative"
"657","manchar","cucumber","Multiplicative"
"658","panvel","cucumber","Multiplicative"
