"","APMC","Commodity","Year","Month","arrivals_in_qtl","min_price","max_price","modal_price","date","district_name","state_name","outlier"
"592","vaijapur","black gram",2014,"November",1,1525,1525,1525,"2014-11","Aurangabad","Maharashtra",TRUE
"656","shirpur","black gram",2014,"September",3,6009,6284,6284,"2014-09","Dhule","Maharashtra",TRUE
"657","aheri","black gram",2014,"December",14,3300,3300,3300,"2014-12","Gadchiroli","Maharashtra",TRUE
"677","amalner","black gram",2014,"September",11,3167,3429,3298,"2014-09","Jalgaon","Maharashtra",TRUE
"709","jalkot","black gram",2014,"September",10,3300,3400,3300,"2014-09","Latur","Maharashtra",TRUE
"732","taloda","black gram",2014,"November",2451,3154,3436,3329,"2014-11","Nandurbar","Maharashtra",TRUE
"777","jintur-bori","black gram",2014,"September",1,2000,2000,2000,"2014-09","Parbhani","Maharashtra",TRUE
"779","indapur-bhigwan","black gram",2014,"December",1,2000,2000,2000,"2014-12","Pune","Maharashtra",TRUE
"781","indapur-bhigwan","black gram",2014,"November",3,3167,3167,3167,"2014-11","Pune","Maharashtra",TRUE
"793","kurdwadi","black gram",2014,"December",3,2900,2900,2900,"2014-12","Solapur","Maharashtra",TRUE
"823","mangrulpeer","black gram",2014,"September",4,3200,3200,3200,"2014-09","Wasim","Maharashtra",TRUE
"825","digras","black gram",2014,"December",2,4403,0,0,"2014-12","Yewatmal","Maharashtra",TRUE
"829","digras","black gram",2014,"November",5,4000,1450,1317,"2014-11","Yewatmal","Maharashtra",TRUE
"832","digras","black gram",2014,"October",16,4141,1236,579,"2014-10","Yewatmal","Maharashtra",TRUE
"884","mumbai","bottle gourd",2014,"September",8300,2304,2832,2568,"2014-09","Mumbai","Maharashtra",TRUE
"921","ratanagari","bottle gourd",2014,"November",9,2000,2500,2250,"2014-11","Ratnagiri","Maharashtra",TRUE
"1027","vai","brinjal",2014,"November",10,4000,5000,4400,"2014-11","Satara","Maharashtra",TRUE
"1069","rahata","cabbage",2014,"November",2150,3,5,4,"2014-11","Ahmadnagar","Maharashtra",TRUE
"1071","rahata","cabbage",2014,"October",1500,4,6,5,"2014-10","Ahmadnagar","Maharashtra",TRUE
"1074","amarawati","cabbage",2014,"December",39,2377,2631,2512,"2014-12","Amaravathi","Maharashtra",TRUE
"1099","kamthi","cabbage",2014,"October",65,829,2100,1464,"2014-10","Nagpur","Maharashtra",TRUE
"1101","ramtek","cabbage",2014,"October",48,11,9,10,"2014-10","Nagpur","Maharashtra",TRUE
"1102","kamthi","cabbage",2014,"September",55,1160,2768,1968,"2014-09","Nagpur","Maharashtra",TRUE
"1104","ramtek","cabbage",2014,"September",1480,18,14,16,"2014-09","Nagpur","Maharashtra",TRUE
"1109","ghoti","cabbage",2014,"October",349,1570,1670,1620,"2014-10","Nasik","Maharashtra",TRUE
"1110","ghoti","cabbage",2014,"September",171,1609,1777,1693,"2014-09","Nasik","Maharashtra",TRUE
"1155","barshi","cabbage",2014,"December",89,28,62,44,"2014-12","Solapur","Maharashtra",TRUE
"1159","barshi","cabbage",2014,"November",17,30,55,45,"2014-11","Solapur","Maharashtra",TRUE
"1163","barshi","cabbage",2014,"October",72,33,59,46,"2014-10","Solapur","Maharashtra",TRUE
"1167","barshi","cabbage",2014,"September",123,41,76,57,"2014-09","Solapur","Maharashtra",TRUE
"1199","kamthi","capsicum",2014,"November",20,3895,5684,4800,"2014-11","Nagpur","Maharashtra",TRUE
"1227","barshi","capsicum",2014,"December",85,125,231,181,"2014-12","Solapur","Maharashtra",TRUE
"1230","barshi","capsicum",2014,"November",16,158,217,173,"2014-11","Solapur","Maharashtra",TRUE
"1233","barshi","capsicum",2014,"October",80,95,199,150,"2014-10","Solapur","Maharashtra",TRUE
"1236","barshi","capsicum",2014,"September",126,99,169,139,"2014-09","Solapur","Maharashtra",TRUE
"1247","mumbai","cardamom",2014,"November",506,88000,109231,98615,"2014-11","Mumbai","Maharashtra",TRUE
"1269","kamthi","carrot",2014,"November",16,2557,5071,3814,"2014-11","Nagpur","Maharashtra",TRUE
"1271","kamthi","carrot",2014,"October",8,2633,5500,4067,"2014-10","Nagpur","Maharashtra",TRUE
"1273","kamthi","carrot",2014,"September",1,3400,5000,4200,"2014-09","Nagpur","Maharashtra",TRUE
"1276","nashik","carrot",2014,"September",156,3117,5283,4033,"2014-09","Nasik","Maharashtra",TRUE
"1305","shegaon","castor seed",2014,"September",1,2100,2100,2100,"2014-09","Buldhana","Maharashtra",TRUE
"1307","dhule","castor seed",2014,"November",3,3830,3830,3830,"2014-11","Dhule","Maharashtra",TRUE
"1318","tasgaon","castor seed",2014,"October",100,2200,3000,2400,"2014-10","Sangli","Maharashtra",TRUE
"1337","pune-pimpri","chavli (pala)",2014,"November",1,3000,3200,3100,"2014-11","Pune","Maharashtra",TRUE
"1349","jalgaon","chavli (shenga )",2014,"November",46,4550,4729,4657,"2014-11","Jalgaon","Maharashtra",TRUE
"1350","jalgaon","chavli (shenga )",2014,"October",28,3590,4470,4040,"2014-10","Jalgaon","Maharashtra",TRUE
"1351","jalgaon","chavli (shenga )",2014,"September",33,3650,4050,3850,"2014-09","Jalgaon","Maharashtra",TRUE
"1399","pune","chikoo",2014,"December",7,4500,5000,4750,"2014-12","Pune","Maharashtra",TRUE
"1405","barshi","chikoo",2014,"December",72,105,251,185,"2014-12","Solapur","Maharashtra",TRUE
"1409","barshi","chikoo",2014,"November",133,122,221,171,"2014-11","Solapur","Maharashtra",TRUE
"1412","barshi","chikoo",2014,"October",60,120,253,208,"2014-10","Solapur","Maharashtra",TRUE
"1415","barshi","chikoo",2014,"September",75,100,179,140,"2014-09","Solapur","Maharashtra",TRUE
"1436","gadhinglaj","chillies(red)",2014,"December",292,5444,42556,18967,"2014-12","Kolhapur","Maharashtra",TRUE
"1569","pune","coconut",2014,"September",11010,7,15,11,"2014-09","Pune","Maharashtra",TRUE
"1643","mumbai","coriander (dry)",2014,"December",7350,13150,20167,16658,"2014-12","Mumbai","Maharashtra",TRUE
"1644","mumbai","coriander (dry)",2014,"November",5989,12476,18952,15714,"2014-11","Mumbai","Maharashtra",TRUE
"1645","mumbai","coriander (dry)",2014,"October",6252,12889,21444,17167,"2014-10","Mumbai","Maharashtra",TRUE
"1646","mumbai","coriander (dry)",2014,"September",8218,13304,20087,16696,"2014-09","Mumbai","Maharashtra",TRUE
"1653","ramtek","coriander (dry)",2014,"September",410,40,20,30,"2014-09","Nagpur","Maharashtra",TRUE
"1664","pune","coriander (dry)",2014,"December",553,10444,20000,15139,"2014-12","Pune","Maharashtra",TRUE
"1666","pune","coriander (dry)",2014,"November",575,10750,17500,14125,"2014-11","Pune","Maharashtra",TRUE
"1667","pune","coriander (dry)",2014,"September",123,12500,15500,14000,"2014-09","Pune","Maharashtra",TRUE
"1690","telhara","cotton",2014,"November",19010,3608,3665,3631,"2014-11","Akola","Maharashtra",TRUE
"1702","fulambri","cotton",2014,"December",1055,4042,1013,1010,"2014-12","Aurangabad","Maharashtra",TRUE
"1739","dhule","cotton",2014,"November",1028,4100,4200,4200,"2014-11","Dhule","Maharashtra",TRUE
"1746","kalamnuri","cotton",2014,"December",329,4250,4275,4275,"2014-12","Hingoli","Maharashtra",TRUE
"1754","chalisgaon","cotton",2014,"November",12150,50,73,50,"2014-11","Jalgaon","Maharashtra",TRUE
"1770","jalna","cotton",2014,"November",7242,3502,3502,3502,"2014-11","Jalna","Maharashtra",TRUE
"1773","partur","cotton",2014,"November",37313,3475,3585,3567,"2014-11","Jalna","Maharashtra",TRUE
"1778","narkhed","cotton",2014,"December",25004,3740,4053,3300,"2014-12","Nagpur","Maharashtra",TRUE
"1785","narkhed","cotton",2014,"November",17389,3842,3979,3558,"2014-11","Nagpur","Maharashtra",TRUE
"1787","bhiwapur","cotton",2014,"October",150,3500,3800,3650,"2014-10","Nagpur","Maharashtra",TRUE
"1821","atpadi","cotton",2014,"October",7,4200,4800,4500,"2014-10","Sangli","Maharashtra",TRUE
"1822","atpadi","cotton",2014,"September",109,4100,4633,4367,"2014-09","Sangli","Maharashtra",TRUE
"1852","digras","cotton",2014,"November",1816,3845,3427,3125,"2014-11","Yewatmal","Maharashtra",TRUE
"1862","darwha","cotton",2014,"October",217,3500,3850,3675,"2014-10","Yewatmal","Maharashtra",TRUE
"1921","kamthi","cucumber",2014,"December",39,2008,3750,2879,"2014-12","Nagpur","Maharashtra",TRUE
"1923","kamthi","cucumber",2014,"November",30,2411,4684,3547,"2014-11","Nagpur","Maharashtra",TRUE
"1933","ghoti","cucumber",2014,"December",6,3000,3000,3000,"2014-12","Nasik","Maharashtra",TRUE
"1998","mumbai","cummin",2014,"December",10188,14170,18852,16511,"2014-12","Mumbai","Maharashtra",TRUE
"2073","mumbai","fennel",2014,"December",1988,14231,19215,16723,"2014-12","Mumbai","Maharashtra",TRUE
"2159","ratanagari","flower",2014,"November",1100,2947,3645,3297,"2014-11","Ratnagiri","Maharashtra",TRUE
"2222","kamthi","garlic",2014,"October",19,2889,10000,6444,"2014-10","Nagpur","Maharashtra",TRUE
"2224","ramtek","garlic",2014,"October",8,38,33,35,"2014-10","Nagpur","Maharashtra",TRUE
"2227","ramtek","garlic",2014,"September",21,36,30,33,"2014-09","Nagpur","Maharashtra",TRUE
"2290","satara","ghevda",2014,"November",22,3813,4313,13625,"2014-11","Satara","Maharashtra",TRUE
"2297","barshi","ghevda",2014,"December",28,139,261,200,"2014-12","Solapur","Maharashtra",TRUE
"2300","barshi","ghevda",2014,"November",12,250,350,300,"2014-11","Solapur","Maharashtra",TRUE
"2303","barshi","ghevda",2014,"September",9,143,233,193,"2014-09","Solapur","Maharashtra",TRUE
"2372","ramtek","ginger (fresh)",2014,"October",10,65,58,61,"2014-10","Nagpur","Maharashtra",TRUE
"2375","ramtek","ginger (fresh)",2014,"September",413,62,52,57,"2014-09","Nagpur","Maharashtra",TRUE
"2378","nashik","ginger (fresh)",2014,"September",57,7218,11845,9636,"2014-09","Nasik","Maharashtra",TRUE
"2404","pune-manjri","goosefoot",2014,"December",29,500,1413,650,"2014-12","Pune","Maharashtra",TRUE
"2414","kalamb (os)","gr.nut kernels",2014,"September",5,2900,3313,3313,"2014-09","Osmanabad","Maharashtra",TRUE
"2415","umarga","gr.nut kernels",2014,"September",2,2701,3101,2701,"2014-09","Osmanabad","Maharashtra",TRUE
"2420","akole","gram",2014,"December",9,3200,3300,3235,"2014-12","Ahmadnagar","Maharashtra",TRUE
"2422","newasa","gram",2014,"December",12,3175,3175,3175,"2014-12","Ahmadnagar","Maharashtra",TRUE
"2425","rahuri","gram",2014,"December",1,3175,3175,3175,"2014-12","Ahmadnagar","Maharashtra",TRUE
"2427","sangamner","gram",2014,"December",141,3238,3288,3256,"2014-12","Ahmadnagar","Maharashtra",TRUE
"2431","akole","gram",2014,"November",59,3194,3300,3230,"2014-11","Ahmadnagar","Maharashtra",TRUE
"2433","newasa","gram",2014,"November",38,3175,3175,3175,"2014-11","Ahmadnagar","Maharashtra",TRUE
"2436","rahuri","gram",2014,"November",10,3250,3250,3250,"2014-11","Ahmadnagar","Maharashtra",TRUE
"2438","sangamner","gram",2014,"November",41,3200,3275,3238,"2014-11","Ahmadnagar","Maharashtra",TRUE
"2450","shevgaon-bodhegaon","gram",2014,"October",8,1650,1650,1650,"2014-10","Ahmadnagar","Maharashtra",TRUE
"2470","patur","gram",2014,"October",88,3000,3500,3310,"2014-10","Akola","Maharashtra",TRUE
"2514","sillod-bharadi","gram",2014,"November",19,2975,3500,3200,"2014-11","Aurangabad","Maharashtra",TRUE
"2604","sakri","gram",2014,"October",5,1612,1612,1612,"2014-10","Dhule","Maharashtra",TRUE
"2608","sakri","gram",2014,"September",9,1655,1655,1655,"2014-09","Dhule","Maharashtra",TRUE
"2615","kalamnuri","gram",2014,"November",47,3200,3200,3200,"2014-11","Hingoli","Maharashtra",TRUE
"2616","akhadabalapur","gram",2014,"October",253,3120,3280,3200,"2014-10","Hingoli","Maharashtra",TRUE
"2617","basmat","gram",2014,"October",235,5800,7980,6500,"2014-10","Hingoli","Maharashtra",TRUE
"2619","akhadabalapur","gram",2014,"September",128,3140,3260,3200,"2014-09","Hingoli","Maharashtra",TRUE
"2655","kolhapur-laxmipuri","gram",2014,"November",60,3400,3800,3600,"2014-11","Kolhapur","Maharashtra",TRUE
"2656","kolhapur-laxmipuri","gram",2014,"October",10,3200,3500,3300,"2014-10","Kolhapur","Maharashtra",TRUE
"2657","kolhapur-laxmipuri","gram",2014,"September",156,3127,3353,3227,"2014-09","Kolhapur","Maharashtra",TRUE
"2664","nilanga","gram",2014,"November",102,2375,3400,3288,"2014-11","Latur","Maharashtra",TRUE
"2676","mumbai","gram",2014,"November",5259,3000,3667,3250,"2014-11","Mumbai","Maharashtra",TRUE
"2677","mumbai","gram",2014,"October",28790,3000,3729,3265,"2014-10","Mumbai","Maharashtra",TRUE
"2678","mumbai","gram",2014,"September",26108,2984,3784,3292,"2014-09","Mumbai","Maharashtra",TRUE
"2704","naigaon","gram",2014,"December",5,1600,2200,1800,"2014-12","Nanded","Maharashtra",TRUE
"2706","bhokar","gram",2014,"November",283,3013,3627,3279,"2014-11","Nanded","Maharashtra",TRUE
"2718","taloda","gram",2014,"December",218,3002,3425,3191,"2014-12","Nandurbar","Maharashtra",TRUE
"2721","taloda","gram",2014,"November",564,3199,3405,3310,"2014-11","Nandurbar","Maharashtra",TRUE
"2724","taloda","gram",2014,"October",484,3200,3486,3407,"2014-10","Nandurbar","Maharashtra",TRUE
"2730","malegaon","gram",2014,"December",155,3152,3283,3217,"2014-12","Nasik","Maharashtra",TRUE
"2736","devala","gram",2014,"November",48,2732,3677,3337,"2014-11","Nasik","Maharashtra",TRUE
"2745","devala","gram",2014,"October",42,3072,3456,3318,"2014-10","Nasik","Maharashtra",TRUE
"2754","devala","gram",2014,"September",49,3094,3667,3382,"2014-09","Nasik","Maharashtra",TRUE
"2788","pathari","gram",2014,"October",5,1900,2001,0,"2014-10","Parbhani","Maharashtra",TRUE
"2795","pathari","gram",2014,"September",3,2225,2700,0,"2014-09","Parbhani","Maharashtra",TRUE
"2796","purna","gram",2014,"September",2,1880,1880,1880,"2014-09","Parbhani","Maharashtra",TRUE
"2802","pune","gram",2014,"December",3403,3147,3767,3454,"2014-12","Pune","Maharashtra",TRUE
"2808","pune","gram",2014,"November",2999,3100,3723,3412,"2014-11","Pune","Maharashtra",TRUE
"2811","pune","gram",2014,"October",1627,3841,4741,4289,"2014-10","Pune","Maharashtra",TRUE
"2814","pune","gram",2014,"September",2218,5032,6689,5861,"2014-09","Pune","Maharashtra",TRUE
"2818","atpadi","gram",2014,"October",5,3500,4200,3800,"2014-10","Sangli","Maharashtra",TRUE
"2820","koregaon","gram",2014,"December",48,3200,3200,3200,"2014-12","Satara","Maharashtra",TRUE
"2821","lonand","gram",2014,"December",18,3200,3200,3200,"2014-12","Satara","Maharashtra",TRUE
"2823","koregaon","gram",2014,"November",32,3200,3200,3200,"2014-11","Satara","Maharashtra",TRUE
"2824","lonand","gram",2014,"November",4,3200,3200,3200,"2014-11","Satara","Maharashtra",TRUE
"2828","lonand","gram",2014,"October",15,3200,3200,3200,"2014-10","Satara","Maharashtra",TRUE
"2831","lonand","gram",2014,"September",6,3275,3275,3275,"2014-09","Satara","Maharashtra",TRUE
"2841","solapur","gram",2014,"December",5,3226,3226,3226,"2014-12","Solapur","Maharashtra",TRUE
"2847","mangalwedha","gram",2014,"November",768,2220,3342,3291,"2014-11","Solapur","Maharashtra",TRUE
"2883","manora","gram",2014,"November",198,3022,3243,3154,"2014-11","Wasim","Maharashtra",TRUE
"2894","digras","gram",2014,"December",137,1949,1305,1249,"2014-12","Yewatmal","Maharashtra",TRUE
"2908","digras","gram",2014,"October",187,2041,2122,1654,"2014-10","Yewatmal","Maharashtra",TRUE
"2917","digras","gram",2014,"September",188,2223,2410,1615,"2014-09","Yewatmal","Maharashtra",TRUE
"2926","chandrapur","grapes",2014,"October",7,4667,7000,5833,"2014-10","Chandrapur","Maharashtra",TRUE
"2927","chandrapur","grapes",2014,"September",9,5520,6920,6120,"2014-09","Chandrapur","Maharashtra",TRUE
"2936","solapur","grapes",2014,"December",1141,68,153,105,"2014-12","Solapur","Maharashtra",TRUE
"3011","ramtek","green chilli",2014,"October",110,24,19,22,"2014-10","Nagpur","Maharashtra",TRUE
"3015","ramtek","green chilli",2014,"September",1632,31,23,27,"2014-09","Nagpur","Maharashtra",TRUE
"3057","barshi","green chilli",2014,"December",85,126,260,192,"2014-12","Solapur","Maharashtra",TRUE
"3061","barshi","green chilli",2014,"November",17,167,275,217,"2014-11","Solapur","Maharashtra",TRUE
"3065","barshi","green chilli",2014,"October",79,150,297,248,"2014-10","Solapur","Maharashtra",TRUE
"3069","barshi","green chilli",2014,"September",143,136,239,192,"2014-09","Solapur","Maharashtra",TRUE
"3101","patur","green gram",2014,"November",26,2200,2600,2600,"2014-11","Akola","Maharashtra",TRUE
"3168","tumsar","green gram",2014,"November",3,3800,4005,3902,"2014-11","Bhandara","Maharashtra",TRUE
"3237","bhusaval","green gram",2014,"October",6,4180,4290,4180,"2014-10","Jalgaon","Maharashtra",TRUE
"3299","dharmabad","green gram",2014,"October",225,5934,4775,9283,"2014-10","Nanded","Maharashtra",TRUE
"3307","taloda","green gram",2014,"December",65,2826,3841,3349,"2014-12","Nandurbar","Maharashtra",TRUE
"3367","pathari","green gram",2014,"December",7,5601,6600,0,"2014-12","Parbhani","Maharashtra",TRUE
"3368","purna","green gram",2014,"December",1,1580,1580,1580,"2014-12","Parbhani","Maharashtra",TRUE
"3374","pathari","green gram",2014,"November",35,6391,7310,1370,"2014-11","Parbhani","Maharashtra",TRUE
"3392","indapur-bhigwan","green gram",2014,"December",1,1000,1000,1000,"2014-12","Pune","Maharashtra",TRUE
"3431","mohol","green gram",2014,"October",2,2800,3000,2900,"2014-10","Solapur","Maharashtra",TRUE
"3451","digras","green gram",2014,"December",2,5250,0,0,"2014-12","Yewatmal","Maharashtra",TRUE
"3453","digras","green gram",2014,"November",4,7435,0,0,"2014-11","Yewatmal","Maharashtra",TRUE
"3455","digras","green gram",2014,"October",11,5267,1700,1617,"2014-10","Yewatmal","Maharashtra",TRUE
"3459","digras","green gram",2014,"September",11,5117,0,0,"2014-09","Yewatmal","Maharashtra",TRUE
"3460","rahata","green peas (dry)",2014,"December",32,2667,3250,2883,"2014-12","Ahmadnagar","Maharashtra",TRUE
"3462","kolhapur-laxmipuri","green peas (dry)",2014,"November",50,4000,7500,5750,"2014-11","Kolhapur","Maharashtra",TRUE
"3469","kamthi","green peas (dry)",2014,"December",87,2037,4000,2947,"2014-12","Nagpur","Maharashtra",TRUE
"3470","umared","green peas (dry)",2014,"December",2,1400,1400,1400,"2014-12","Nagpur","Maharashtra",TRUE
"3471","kamthi","green peas (dry)",2014,"November",27,3733,7333,5700,"2014-11","Nagpur","Maharashtra",TRUE
"3488","rahata","ground nut pods (dry)",2014,"September",7,5000,5000,5000,"2014-09","Ahmadnagar","Maharashtra",TRUE
"3554","ramtek","ground nut pods (dry)",2014,"October",7,35,30,32,"2014-10","Nagpur","Maharashtra",TRUE
"3557","ramtek","ground nut pods (dry)",2014,"September",66,32,27,29,"2014-09","Nagpur","Maharashtra",TRUE
"3559","nanded","ground nut pods (dry)",2014,"October",52,1450,1551,1540,"2014-10","Nanded","Maharashtra",TRUE
"3567","kalvan","ground nut pods (dry)",2014,"December",159,3373,5384,4738,"2014-12","Nasik","Maharashtra",TRUE
"3569","nandgaon","ground nut pods (dry)",2014,"December",165,4285,5118,4708,"2014-12","Nasik","Maharashtra",TRUE
"3604","pune-manjri","ground nut pods (dry)",2014,"November",13,1750,2750,1875,"2014-11","Pune","Maharashtra",TRUE
"3646","kamthi","guava",2014,"November",36,2006,4306,3156,"2014-11","Nagpur","Maharashtra",TRUE
"3647","kamthi","guava",2014,"October",4,2751,7250,5050,"2014-10","Nagpur","Maharashtra",TRUE
"3648","kamthi","guava",2014,"September",1,3400,5000,4200,"2014-09","Nagpur","Maharashtra",TRUE
"3653","barshi","guava",2014,"December",35,129,249,189,"2014-12","Solapur","Maharashtra",TRUE
"3655","barshi","guava",2014,"November",15,80,120,100,"2014-11","Solapur","Maharashtra",TRUE
"3664","pune","harbara(pendi)",2014,"October",157,3100,3800,3450,"2014-10","Pune","Maharashtra",TRUE
"3723","mumbai","jaggery",2014,"October",11317,4021,4984,4503,"2014-10","Mumbai","Maharashtra",TRUE
"3724","mumbai","jaggery",2014,"September",11602,4000,5550,4775,"2014-09","Mumbai","Maharashtra",TRUE
"3895","umared","lang",2014,"October",37,1932,2033,1983,"2014-10","Nagpur","Maharashtra",TRUE
"3966","bhokar","linseed",2014,"December",20,1400,1600,1450,"2014-12","Nanded","Maharashtra",TRUE
"4135","loha","maize",2014,"December",13,1700,1775,1751,"2014-12","Nanded","Maharashtra",TRUE
"4304","vaijapur","matki",2014,"November",2,3300,3300,3300,"2014-11","Aurangabad","Maharashtra",TRUE
"4313","shirpur","matki",2014,"November",1,4000,4000,4000,"2014-11","Dhule","Maharashtra",TRUE
"4314","dhule","matki",2014,"October",19,4276,4301,4301,"2014-10","Dhule","Maharashtra",TRUE
"4329","indapur-bhigwan","matki",2014,"December",3,4325,4325,4325,"2014-12","Pune","Maharashtra",TRUE
"4338","barshi","matki",2014,"November",1,1450,1450,1450,"2014-11","Solapur","Maharashtra",TRUE
"4362","kamthi","methi (bhaji)",2014,"October",35,3967,9000,6467,"2014-10","Nagpur","Maharashtra",TRUE
"4421","ramtek","mosambi",2014,"October",3,20,15,17,"2014-10","Nagpur","Maharashtra",TRUE
"4424","ramtek","mosambi",2014,"September",6,20,15,18,"2014-09","Nagpur","Maharashtra",TRUE
"4427","karad","mosambi",2014,"December",129,3682,5045,4364,"2014-12","Satara","Maharashtra",TRUE
"4428","karad","mosambi",2014,"November",51,4714,6286,5500,"2014-11","Satara","Maharashtra",TRUE
"4429","karad","mosambi",2014,"October",57,3545,5414,4479,"2014-10","Satara","Maharashtra",TRUE
"4430","karad","mosambi",2014,"September",90,3643,5607,4625,"2014-09","Satara","Maharashtra",TRUE
"4432","barshi","mosambi",2014,"November",200,300,600,450,"2014-11","Solapur","Maharashtra",TRUE
"4433","barshi","mosambi",2014,"October",700,400,600,500,"2014-10","Solapur","Maharashtra",TRUE
"4446","mumbai","mustard",2014,"November",351,4000,9000,6500,"2014-11","Mumbai","Maharashtra",TRUE
"4447","mumbai","mustard",2014,"October",2525,4358,8568,6463,"2014-10","Mumbai","Maharashtra",TRUE
"4448","mumbai","mustard",2014,"September",3147,4324,7267,5795,"2014-09","Mumbai","Maharashtra",TRUE
"4460","mangaon(bhadav)","nachani",2014,"September",24,1411,2600,2022,"2014-09","Raigad","Maharashtra",TRUE
"4464","mangaon(bhadav)","nagali",2014,"September",16,1300,2388,3913,"2014-09","Raigad","Maharashtra",TRUE
"4558","vadgaon peth","onion",2014,"September",140,1500,2500,2000,"2014-09","Kolhapur","Maharashtra",TRUE
"4565","kamthi","onion",2014,"November",53,1500,2500,2000,"2014-11","Nagpur","Maharashtra",TRUE
"4569","ramtek","onion",2014,"October",42,18,13,15,"2014-10","Nagpur","Maharashtra",TRUE
"4572","ramtek","onion",2014,"September",1859,23,17,20,"2014-09","Nagpur","Maharashtra",TRUE
"4606","lasalgaon-niphad","onion",2014,"October",75,1975,3596,3270,"2014-10","Nasik","Maharashtra",TRUE
"4634","junnar-otur","onion",2014,"December",16010,1663,2644,2063,"2014-12","Pune","Maharashtra",TRUE
"4636","pune-manjri","onion",2014,"December",41,400,1294,522,"2014-12","Pune","Maharashtra",TRUE
"4637","pune-pimpri","onion",2014,"December",14,2400,2440,2420,"2014-12","Pune","Maharashtra",TRUE
"4643","pune-manjri","onion",2014,"November",20,343,1150,357,"2014-11","Pune","Maharashtra",TRUE
"4644","pune-pimpri","onion",2014,"November",50,1917,2083,2000,"2014-11","Pune","Maharashtra",TRUE
"4649","pune-manjri","onion",2014,"October",11,500,1263,650,"2014-10","Pune","Maharashtra",TRUE
"4656","pune-manjri","onion",2014,"September",1,0,4500,0,"2014-09","Pune","Maharashtra",TRUE
"4700","bhivandi","onion",2014,"November",74,1500,2500,2033,"2014-11","Thane","Maharashtra",TRUE
"4701","bhivandi","onion",2014,"October",109,1500,2488,2025,"2014-10","Thane","Maharashtra",TRUE
"4704","bhivandi","onion",2014,"September",69,1526,2519,2024,"2014-09","Thane","Maharashtra",TRUE
"4706","vasai","onion",2014,"September",122,1800,2200,2000,"2014-09","Thane","Maharashtra",TRUE
"4725","narkhed","orange",2014,"December",8991,9100,11158,6600,"2014-12","Nagpur","Maharashtra",TRUE
"4730","narkhed","orange",2014,"November",16506,6700,9138,6707,"2014-11","Nagpur","Maharashtra",TRUE
"4734","narkhed","orange",2014,"October",1851,8000,10222,9111,"2014-10","Nagpur","Maharashtra",TRUE
"4741","barshi","other cereals",2014,"December",51,3300,3300,3300,"2014-12","Solapur","Maharashtra",TRUE
"4744","umared","other pulses",2014,"December",11,3921,4012,3966,"2014-12","Nagpur","Maharashtra",TRUE
